X,Y,OBJECTID,CATEGORY,NAME,ADDRESS,CITY,ZIPCODE,PHONE,URL,DATA,POINT_X,POINT_Y,LATITUDE,LONGITUDE
-77.158255951011,39.1150754381713,54,CEMETERY,Crabbe Family Burying Ground,15806 Derwood Rd,Derwood,20855,,,,1267431.40775335,527531.45556564,39.11506757,-77.15825363
-77.1141578878093,39.2466335158494,55,CEMETERY,Dorsey Family Cemetery,5701 Damascus Rd,Etichison,20882,,,,1280003.43643706,575429.03077825,39.24662562,-77.11415558
-77.4219703866623,39.1579539563731,56,CEMETERY,Elijah Methodist Cemetery,18401 Beallsville Rd,Poolesville,20837,,,,1192679.23872373,543386.1783964,39.15794609,-77.42196799
-77.0475236925746,39.2313833170849,57,CEMETERY,Elton Cemetery,2251 Triadelphia Lake Rd,Sandy Spring,20833,,,,1298871.95050263,569857.78187706,39.23137542,-77.0475214
-77.1561982295064,39.083495730327,58,CEMETERY,Rockville Baptist Cemetery,115 W Jefferson St,Rockville,20850,,,,1267784.61044168,515917.06707482,39.08348787,-77.15619592
-77.1520974641816,39.1518854261747,59,CEMETERY,Flowerhill Cemetery,7412 Muncaster Mill Rd,Redland,20877,,,,1269201.115275,540935.28969012,39.15187755,-77.15209515
-77.1973804166801,39.3107994153134,60,CEMETERY,Friendship Cemetery,27701 Ridge Rd,Damascus,20876,,,,1256484.62297515,598840.43099205,39.31079151,-77.19737808
-77.145236937073,39.0953546566157,61,CEMETERY,Lincoln Park,320 Frederick Ave,Lincoln Park,20850,,,,1271113.91271678,520342.73056694,39.09534679,-77.14523463
-77.3019834074164,39.2468559148497,62,CEMETERY,Garden of Remembrance Memoral Park,14321 Comus Rd,Clarksburg,20871,,,,1226809.94672352,575631.27845844,39.24684803,-77.30198104
-77.3062745526047,39.2690261823044,63,CEMETERY,Montgomery Chapel Cemetery,25200 Frederick Rd,Hyattstown,20871,,,,1225621.75779441,583710.34048196,39.26901829,-77.30627218
-77.2627854379029,39.2243043682597,64,CEMETERY,John Weslyan Methodist Cemetery,22420 Frederick Rd,Clarksburg,20871,,,,1237887.43742183,567383.09336275,39.22429648,-77.26278308
-77.2354326685299,39.2703398625981,65,CEMETERY,Kingstead Farm Cemetery,11411 Kingstead Rd,Damascus,20872,,,,1245679.64325309,584129.31238635,39.27033197,-77.23543032
-77.2779874523984,39.1619700106414,66,CEMETERY,Magers/Mobley Cemetery,18669 Village Fountain Dr,Germantown,20874,,,,1233511.61610576,544692.37026962,39.16196214,-77.2779851
-77.2655164318525,39.0951173751847,67,CEMETERY,Poplar Grove Church Cemetery,14625 Jones La,Darnestown,20878,,,,1236976.89994899,520333.11008693,39.09510952,-77.26551408
-77.1935552031821,39.0458898672697,68,CEMETERY,Potomac Methodist Church,9340 Falls Rd,Rockville,20854,,,,1257362.39987197,502352.57375019,39.04588201,-77.19355288
-77.2200881419529,39.2407444853139,69,CEMETERY,Purdum Cemetery,10610 Watkins Rd,Cedar Grove,20876,,,,1249997.90015311,573339.0117043,39.24073659,-77.2200858
-76.9640983600545,39.0648003995947,70,CEMETERY,St Marks Episcopal Cemetery,12621 Old Columbia Pik,Silver Spring,20904,301-622-5860,,,1322527.70271666,509183.70847655,39.06479253,-76.96409611
-77.0810439582234,39.0253586600735,71,CEMETERY,Saint Patricks Cemetery,10318 Summit Ave,Kensington,20895,,,,1289310.04892573,494826.87390318,39.02535081,-77.08104167
-77.2414119291521,39.1504858765432,72,CEMETERY,St Rose of Lima Catholic Church Cemetery,11701 Clopper Rd,Gaithersburg,20878,,,,1243871.39032341,540480.1406337,39.150478,-77.24140959
-77.2426911998773,39.1504239297807,73,CEMETERY,Shoemaker Cemetery,11715 Clopper Rd,Gaithersburg ,20816,,,,1243508.53976307,540458.54037768,39.15041606,-77.24268886
-77.2824890347804,39.1614552348175,74,CEMETERY,Trinity United Methodist Church,18951 Germantown Rd,Germantown,20874,,,,1232234.63204057,544508.79804545,39.16144736,-77.28248668
-77.2334052436788,39.2460475081389,75,CEMETERY,Salem United Methodist Cemetery,23725 Ridge Rd,Damascus,20876,,,,1246231.01221361,575279.88185011,39.17837849,-77.05763239
-77.2698925342024,39.1998678828436,76,CEMETERY,Waters Cemetery,20960 Mountain Lake Ter,Germantown,20874,,,,1235847.70417193,558488.63985047,39.19986,-77.26989018
-77.1878408402407,39.2443054612626,77,CEMETERY,Wesley Grove United Methodist Cemetery,23640 Woodfield Rd,Laytonsville,20882,,,,1259134.03456162,574615.60767349,39.24429757,-77.18783851
-77.1243317800922,39.0225217810202,78,CEMETERY,Wildwood Baptist Church Cemetery,10200 Old Georgetown Rd,Bethesda,20814,,,,1277010.92673827,493807.49547023,39.02251393,-77.12432948
-77.1019668487484,39.1914729373079,79,CEMETERY,Zion Cemetery,20500 Zion Rd,Laytonsville,20833,,,,1283433.60629625,555334.08291953,39.19146505,-77.10196455
-77.1571664330039,39.0926860587602,80,CEMETERY,Haiti Cemetery,205 Martins La,Rockville,20850,,,,1267726.50125762,519376.40071004,39.0926782,-77.15716412
-77.3644243090214,39.2551591273102,81,CEMETERY,Pearre Cemetery,24000 Barley Field Rd,Comus,20842,,,,1209138.35861106,578720.06694131,39.25515124,-77.36442192
-77.3466185451183,39.2524063003866,82,CEMETERY,Mountain Chapel Cemetery,24100 Old Hundred Rd,Barnesville,20842,,,,1214176.66287175,577697.77881236,39.25239841,-77.34661616
-77.2565691470446,39.2063715519653,83,CEMETERY,Pleasant Fields Cemetery,12509 Hawks Nest La,Germantown,20876,,,,1239630.13719946,560846.53271667,39.20636367,-77.25656679
-77.0708489940872,39.2405522598006,84,CEMETERY,Howard Chapel Cemetery,23000 Howard Chapel Rd,Laytonsville,20833,,,,1292267.18582448,573201.64056817,39.24054436,-77.0708467
-77.1101490614411,39.2302645544986,85,CEMETERY,Griffith Family Cemetery,5501 Griffith Rd,Laytonsville,20882,,,,1281131.57800611,569465.61982869,39.23025666,-77.11014675
-77.1581278884586,39.2094526406657,86,CEMETERY,Goshen Methodist Cemetery,7700 Brink Rd,Laytonsville,20882,,,,1267527.28615344,561905.37713365,39.20944475,-77.15812557
-77.3455486560984,39.2425581772898,87,CEMETERY,Unknown,16520 Comus Rd,Dickerson,20842,,,,1214466.06088802,574109.69253702,39.24255029,-77.34554627
-77.4183054226053,39.1453203240224,88,CEMETERY,Historic Poolesville Methodist Cemetery,17605 W Willard Rd,Poolesville,20837,301-428-8927,,,,,39.14531246,-77.41830302
